ano,cursos,grau_academico,populacao,presentes,conceito
2014,Ciência da Computação (B),Bacharelado,32,0,
2014,Ciências Biológicas (B),Bacharelado,14,14,2
2014,Ciências Biológicas (L),Licenciatura,29,23,1
2014,Ciências Sociais (B),Bacharelado,23,17,2
2014,Ciências Sociais (L),Licenciatura,12,6,4
2014,Educação Física (L),Licenciatura,60,51,2
2014,Engenharia (B),Bacharelado,56,51,3
2014,Engenharia Civil (B),Bacharelado,26,24,4
2014,Física (L),Licenciatura,11,11,2
2014,Geografia (B),Bacharelado,19,14,1
2014,Geografia (L),Licenciatura,33,21,2
2014,História (B),Bacharelado,14,0,
2014,História (L),Licenciatura,14,12,3
2014,Letras-Português (L),Licenciatura,36,28,1
2014,Letras-Português e Inglês (L),Licenciatura,16,13,2
2014,Matemática (L),Licenciatura,14,10,3
2014,Pedagogia (L),Licenciatura,65,56,2
2014,Química (B),Bacharelado,8,8,2
2014,Química (L),Licenciatura,3,2,3
2014,Engenharia de Produção (B),Bacharelado,47,46,2
2016,Enfermagem (B),Bacharelado,24,21,4
2017,Geografia (L),Licenciatura,19,18,3
2017,Letras -  Inglês (L),Licenciatura,13,10,3
2017,Matemática (L),Licenciatura,15,15,3
2017,Pedagogia (L),Licenciatura,43,41,3
2017,Educação Física (L),Licenciatura,52,44,3
2017,História (L),Licenciatura,32,25,2
2017,Ciência da Computação (B),Bacharelado,34,33,2
2017,Letras-Português (L),Licenciatura,24,24,2
2017,Química (L),Licenciatura,8,8,4
2017,Física (L),Licenciatura,8,3,2
2017,Ciências Biológicas (L),Licenciatura,28,25,3
2017,Engenharia Civil (B),Bacharelado,59,59,4
2017,Engenharia (B),Bacharelado,66,61,3
2017,Engenharia de Produção (B),Bacharelado,42,41,3
2017,Ciências Sociais (L),Licenciatura,5,4,3
2017,Geografia (B),Bacharelado,19,17,3
2017,História (B),Bacharelado,1,1,
2017,Química (B),Bacharelado,15,15,2
2017,Ciências Biológicas (B),Bacharelado,2,0,
2017,Ciências Biológicas (B),Bacharelado,19,17,3
2018,Administração (B),Bacharelado,61,51,4
2018,Psicologia (BL),Licenciatura,61,60,4
2018,Psicologia (B),Bacharelado,4,3,3
2019,Engenharia Civil (B),Bacharelado,46,46,4
2019,Engenharia de Produção (B),Bacharelado,57,50,4
2019,Enfermagem (B),Bacharelado,17,16,4
2021,Química (L),Licenciatura,10,10,3
2021,Física (L),Licenciatura,16,11,3
2021,Ciências Biológicas (L),Licenciatura,5,3,3
2021,Ciências Biológicas (B),Bacharelado,9,9,4
2021,Ciências Sociais (L),Licenciatura,1,1,
2021,Geografia (L),Licenciatura,26,21,4
2021,Letras-Português e Inglês (L),Licenciatura,28,23,4
2021,Matemática (L),Licenciatura,17,11,3
2021,Pedagogia (L),Licenciatura,51,48,3
2021,Educação Física (L),Licenciatura,38,21,3
2021,História (L),Licenciatura,29,17,4
2021,Ciência da Computação (B),Bacharelado,33,30,3
2021,Letras-Português (L),Licenciatura,22,19,3
2021,Geografia (B),Bacharelado,33,20,2
2021,História (B),Bacharelado,6,6,3
2021,Química (B),Bacharelado,10,5,3
